Entity ID,Overall Time (s),Time in A1 (s)
bab5b40936b735d809962312eb045781,6.0,6.0
dbfa1ecf51b2a85196204db83494e198,1.5,0.5
1c077b61f93861fefb1d00e0e402ea78,2.5,2.5
d8182e7b6dcd71e66cbb2f85ca4de88f,1.5,0
153c1db358d9ca5eec0bb91928488f6c,6.5,0
6a32641c35f3ca4ba1178640cbf55fd8,2.5,0
3633aeed1c28d6f3a6a02c0b26860249,9.0,0
e2c323708e55e7080250629eb6851b1e,2.0,0
a8020f60cd6dec724995468e51036aa0,3.5,0
664451a7227b62ab8a156a8636e74fb4,5.5,0
8ff0df034655df9c92d92721da100b8f,4.0,4.0
735e8274812edcc94c2c22de205779ee,5.0,5.0
5d077901c4782e56e0aaf48f07caec4c,3.0,0
d73a1ec7afba91affb768e8122b063d3,2.5,0
8b53d2f14243c9229864e5840185cf71,3.0,0
a02cb60072609781917c8cfa0bdd17ac,1.5,0
664171009b744f3a8ee7cd504c91e780,2.5,1.0
d687ce8e84b974c75a8db5591e259b11,1.5,1.5
4064faa8f50f09749bc0b005a5ef4076,8.0,0
5bdbe7458947eec346a1bbf8d9020ffc,1.0,0
9a591c29c986b0b0da20ebdc3a1a9acf,3.5,3.5
71a6c13c7f913cc671687393872b57a7,2.5,0
c7d26c8dd74be1dd8902b19d99493f3e,4.5,0
7a6925a1d9ca96f65a3c2aeb64d8ba53,2.0,0
3e3ac07df98cdcdfd4991fb5bd4a2416,1.0,1.0
76b398ea7c693659cfb31bdb2c76dca6,3.0,0
d481abf63628f74357b9a6b7f4da94be,1.0,0
21fa73e534c3e59f2f22d5429de22a24,2.5,2.5
e46a773e3524a5b1d4c12d37396dc922,1.0,0
47c85599f794de2015be467030652cf1,1.0,0
f2d3d26d1894942d43c9c96726e09cde,1.0,0
161c660acfdae4d7b22c04c1c053d130,2.5,1.5
bf35baca69a90aa5c6dbcd5f23554471,3.5,3.5
8bb1dd9566d1e3a10128805051856250,3.0,0
951c805b8134d1633c3912604765c04d,1.0,0
69cf591dcaf6671139aae46d81f4d5e9,1.0,0
816fbdf6feaaa37ddd350f305d48d60a,3.0,1.0
00aac050f28922b2ba6d033accec1228,1.0,0
9ba4c7aadeaf5d25710dad28899bef05,1.0,0
9b97792845c55a43eed9cc78ddc14870,2.5,0
235356770fe3493f9abeffc8abd541ec,2.5,0
6578c57e131a816ff97a22c342151619,2.0,0
d0e2ab18289e8657786d4b5115fe4b2a,1.5,0.5
23b3f2081ddba7392796634fb1192510,1.5,0
443d14f93f22fab888b15a91ed19f0c4,1.0,0
48f87d16855db64aa1e3fdb4ffb17226,1.0,0
57bf8d05b09fa9e3599256015b7be523,1.5,1.5
2fb2ecb0ffb05603969b96f6bcf1c186,1.0,1.0
cba99486819de73e598284961495b5fe,1.0,0
8dc09209f87c22030ff9b70a08b5b265,8.5,0
dcd8315b34f5ee2a0795cc00b4625843,2.0,0
e5373e4dc4aa5dcacd1c77cbe826602c,2.5,0.5
6a2d8266126b1375570bbd497b232cee,4.5,0
61832efea1fdde87974a5bba8e3cc723,5.5,0
f715f9ec5fe840fcbe2a2e70381117dd,2.0,0
2c7cf33cce97dc3c33c7d3ad849ba3f8,1.0,0
b4eb82d6c231d6e4e650562664b3b3cc,1.0,1.0
9ac6b819eb7df0be47cf31add5a259cc,2.0,0
ea3766e1f24837eec1cc1a363b24281a,1.0,0
ab147f94f9d2bcb6692512b2b9160c85,1.0,0
9c9632eee0a7487b9a904ccfb1ed3822,2.5,0
